athlete,school,round,pick,conf,position,height,weight,handsize,armlength,forty,bench,vertical,broad,shuttle,threecone
Andrew Raym,Oklahoma,na,na,Big12,C,76,314,10,32.5,5.42,,24.5,95,,
Beaux Limmer,Arkansas,6,217,SEC,C,76.63,302,9.5,31.88,5.22,39,36.5,110,4.57,7.47
Charles Turner,Louisiana State,na,na,SEC,C,75.63,303,9.38,34,5.5,22,31,109,4.62,7.88
Drake Nugent,Michigan,na,na,Big10,C,73.5,298,9,33,5.23,25,29.5,101,4.5,7.33
Dylan McMahon,North Carolina State,6,190,ACC,C,75.38,299,9.38,31.75,5.1,25,33,115,4.33,7.26
Graham Barton,Duke,1,26,ACC,C,77.38,313,9.38,32.88,4.97,,,,4.55,7.31
Hunter Nourzad,Penn State,5,159,Big10,C,75.13,317,10.75,33.13,5.15,27,,,,
Jackson Powers-Johnson,Oregon,2,44,Pac12,C,75.38,328,9.88,32.25,5.00,30,32,104,,
Jacob Monk,Duke,5,163,ACC,C,75,308,10,32.38,5.09,31,29.5,108,,
Jalen Sundell,North Dakota State,na,na,FCS,C,77,301,9.5,33.13,5.19,26,30.5,105,4.58,7.63
Kingsley Eguakun,Florida,na,na,SEC,C,75.5,304,10.13,32.5,5.40,26,32,109,4.51,7.57
Matt Lee,Miami (FL),7,237,ACC,C,75.63,301,9.25,32.13,5.03,25,31,111,4.69,7.97
Nick Gargiulo,South Carolina,7,256,SEC,C,77.38,318,10.38,33.88,5.25,28,32.5,101,4.65,7.33
Nick Samac,Michigan State,7,228,Big10,C,76,307,9.75,32.75,5.25,,,,,
Sedrick Van Pran-Granger,Georgia,5,141,SEC,C,76.13,298,9.5,31.38,5.2,22,,,4.82,7.46
Tanor Bortolini,Wisconsin,4,117,Big10,C,76.25,303,10,31.5,4.94,21,32.5,112,4.28,7.16
Zach Frazier,West Virginia,2,51,Big12,C,74.63,315,10.88,32.25,5.26,30,28.5,100,4.69,7.85
Andru Phillips,Kentucky,3,70,SEC,CB,70.75,190,8.75,31.25,4.48,16,42,135,4.29,6.98
Caelen Carson,Wake Forest,5,174,ACC,CB,71.88,193,8.25,31.38,4.53,6,35.5,114,,
Cam Hart,Notre Dame,5,140,ACC,CB,75,202,9.38,33,4.5,11,39.5,130,4.24,7.12
Carlton Johnson,Frenso State (CA),na,na,MountainWest,CB,70.63,173,8,30.38,4.33,,30,119,4.48,7.33
Chau Smith-Wade,Washington State,5,157,Pac12,CB,69.75,184,9.13,30.25,4.54,18,34.5,125,4.32,7.05
Christian Roland-Wallace,USC,na,na,Pac12,CB,71.5,201,9,32.5,4.64,17,37.5,119,4.52,7.16
Cooper DeJean,Iowa,2,40,Big10,CB,72.5,203,9.63,31.13,4.43,16,,,,
Daequan Hardy,Penn State,6,219,Big10,CB,69.38,179,8.13,30,4.38,,42.5,126,4.2,7.06
Deantre Prince,Mississippi,5,153,SEC,CB,72,183,8.5,30.75,4.38,12,34.5,125,,7.46
Decamerion Richardson,Mississippi State,4,112,SEC,CB,74.25,188,8.88,32.38,4.34,8,35,128,4.26,6.96
DJ James,Auburn,6,192,SEC,CB,71.63,181,8.38,31,4.42,,,126,4.41,7.28
Dwight McGlothern,Arkansas,na,na,SEC,CB,73.63,185,8.63,30.5,4.47,,32,115,4.33,7.23
Elijah Jones,Boston College,3,90,ACC,CB,73.5,185,9.25,31.5,4.44,,42.5,131,4.25,7.07
Ennis Rakestraw,Missouri,2,61,SEC,CB,71.38,183,8.5,32,4.51,13,,120,4.38,
Jarrian Jones,Florida State,3,96,ACC,CB,71.88,190,8.63,30,4.38,,39.5,129,4.3,
Jarvis Brownlee,Louisville,5,146,ACC,CB,70.38,194,9,31.25,4.54,,31.5,118,4.25,6.94
Johnny Dixon,Penn State,na,na,Big10,CB,70.75,188,8.63,29.5,4.50,,,,,
Josh Newton,Texas Christian,5,149,Big12,CB,70.63,190,9.25,31.13,4.51,15,34,124,4.15,7.01
Josh Wallace,Michigan,na,na,Big10,CB,71.13,185,8.88,31.38,4.69,13,34.5,120,4.35,7.03
Kalen King,Penn State,7,255,Big10,CB,71.25,191,8.75,30.88,4.61,,37,122,4.16,
Kamal Hadden,Tennessee,6,211,SEC,CB,73,192,8.5,30.88,4.59,,34.5,122,4.31,7.15
Kamari Lassiter,Georgia,2,42,SEC,CB,71.5,186,8.88,30.88,4.65,,,,4.12,6.62
Khyree Jackson,Oregon,4,108,Pac12,CB,75.75,194,9.25,32.75,4.5,11,36.5,133,,
